"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 07:40:09 UTC 2024","Mon Jun 10 07:46:15 UTC 2024","366484","tests.integration","test_charm","","","","test_build_and_deploy","Build the charm-under-test and deploy it.

    Assert on the unit status before any relations/configurations take place.
    "
"unknown","","","","tests.integration.ha_tests","test_async_replication","","","","test_promote_standby","Test promoting the standby cluster."
"unknown","","","","tests.integration.ha_tests","test_async_replication","","","","test_reestablish_relation","Test that the relation can be broken and re-established."
"passed","Mon Jun 10 07:46:15 UTC 2024","Mon Jun 10 07:46:15 UTC 2024","23","tests.integration","test_charm","","","","test_database_is_up[1]",""
"passed","Mon Jun 10 07:51:24 UTC 2024","Mon Jun 10 07:52:13 UTC 2024","49634","tests.integration.ha_tests","test_self_healing","","","","test_restart_db_process[/usr/bin/patroni]",""
"skipped","Mon Jun 10 07:47:01 UTC 2024","Mon Jun 10 07:47:01 UTC 2024","0","tests.integration.ha_tests","test_self_healing","","","","test_kill_db_process[/usr/bin/patroni]",""
"passed","Mon Jun 10 07:46:37 UTC 2024","Mon Jun 10 07:47:33 UTC 2024","55255","tests.integration.new_relations","test_new_relations","","","","test_two_applications_doesnt_share_the_same_relation_data","Test that two different application connect to the database with different credentials."
"broken","Mon Jun 10 07:39:52 UTC 2024","Mon Jun 10 07:39:53 UTC 2024","666","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_deploy_stable","Simple test to ensure that the PostgreSQL and application charms get deployed."
"unknown","","","","tests.integration","test_backups","","","","test_invalid_config_and_recovery_after_fixing_it","Test that the charm can handle invalid and valid backup configurations."
"failed","Mon Jun 10 08:02:38 UTC 2024","Mon Jun 10 08:03:59 UTC 2024","81179","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGKILL-/usr/bin/patroni]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"passed","Mon Jun 10 08:06:37 UTC 2024","Mon Jun 10 08:07:04 UTC 2024","26586","tests.integration","test_charm","","","","test_application_removal",""
"passed","Mon Jun 10 07:46:15 UTC 2024","Mon Jun 10 07:46:15 UTC 2024","22","tests.integration","test_charm","","","","test_database_is_up[2]",""
"passed","Mon Jun 10 07:46:16 UTC 2024","Mon Jun 10 07:46:16 UTC 2024","49","tests.integration","test_charm","","","","test_exporter_is_up[1]",""
