"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","","","","tests.integration.ha_tests","test_replication","","","","test_consistency","Write to primary, read data from secondaries (check consistency)."
"skipped","Sat Jun 08 02:25:36 UTC 2024","Sat Jun 08 02:25:36 UTC 2024","0","tests.integration.ha_tests","test_self_healing","","","","test_kill_db_process[postgres]",""
"passed","Sat Jun 08 02:30:28 UTC 2024","Sat Jun 08 02:30:30 UTC 2024","2061","tests.integration","test_charm","","","","test_settings_are_correct[1]",""
"passed","Sat Jun 08 02:22:31 UTC 2024","Sat Jun 08 02:29:21 UTC 2024","409816","tests.integration.new_relations","test_new_relations","","","","test_database_relation_with_charm_libraries","Test basic functionality of database relation interface."
"passed","Sat Jun 08 02:30:15 UTC 2024","Sat Jun 08 02:30:49 UTC 2024","33876","tests.integration.new_relations","test_new_relations","","","","test_an_application_can_connect_to_multiple_database_clusters","Test that an application can connect to different clusters of the same database."
"passed","Sat Jun 08 02:45:58 UTC 2024","Sat Jun 08 02:46:18 UTC 2024","19338","tests.integration","test_charm","","","","test_persist_data_through_graceful_restart","Test data persists through a graceful restart."
"failed","Sat Jun 08 02:35:06 UTC 2024","Sat Jun 08 02:36:26 UTC 2024","79876","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGTERM-/usr/bin/patroni]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"passed","Sat Jun 08 02:29:21 UTC 2024","Sat Jun 08 02:29:21 UTC 2024","610","tests.integration.new_relations","test_new_relations","","","","test_user_with_extra_roles","Test superuser actions and the request for more permissions."
"passed","Sat Jun 08 02:26:13 UTC 2024","Sat Jun 08 02:26:18 UTC 2024","4419","tests.integration","test_trust","","","","test_enable_rbac","Enables RBAC from inside test runner's environment.

    Assert on permission enforcement being active.
    "
"failed","Sat Jun 08 02:50:01 UTC 2024","Sat Jun 08 02:57:47 UTC 2024","466120","tests.integration.ha_tests","test_self_healing","","","","test_network_cut","Completely cut and restore network."
