"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","","","","tests.integration.ha_tests","test_async_replication","","","","test_switchover","Test switching over to the second cluster."
"broken","Tue Jun 11 02:01:35 UTC 2024","Tue Jun 11 02:01:36 UTC 2024","647","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_deploy_stable","Simple test to ensure that the PostgreSQL and application charms get deployed."
"passed","Tue Jun 11 02:01:50 UTC 2024","Tue Jun 11 02:01:59 UTC 2024","8947","tests.integration","test_tls","","","","test_build_and_deploy","Build and deploy three units of PostgreSQL."
"unknown","","","","tests.integration.ha_tests","test_async_replication","","","","test_promote_standby","Test promoting the standby cluster."
"passed","Tue Jun 11 02:29:01 UTC 2024","Tue Jun 11 02:34:48 UTC 2024","347562","tests.integration","test_charm","","","","test_redeploy_charm_same_model","Redeploy the charm in the same model to test that it works."
"unknown","","","","tests.integration","test_trust","","","","test_deploy_without_trust","Build and deploy the charm with trust set to false.

    Assert on the unit status being blocked due to lack of trust.
    "
"passed","Tue Jun 11 02:09:01 UTC 2024","Tue Jun 11 02:11:07 UTC 2024","126164","tests.integration.ha_tests","test_replication","","","","test_reelection","Kill primary unit, check reelection."
"passed","Tue Jun 11 02:07:48 UTC 2024","Tue Jun 11 02:08:44 UTC 2024","56071","tests.integration","test_charm","","","","test_postgresql_parameters_change","Test that's possible to change PostgreSQL parameters."
"unknown","","","","tests.integration","test_trust","","","","test_enable_rbac","Enables RBAC from inside test runner's environment.

    Assert on permission enforcement being active.
    "
"unknown","","","","tests.integration.ha_tests","test_async_replication","","","","test_async_replication","Test async replication between two PostgreSQL clusters."
"passed","Tue Jun 11 02:08:44 UTC 2024","Tue Jun 11 02:14:13 UTC 2024","329185","tests.integration","test_charm","","","","test_cluster_is_stable_after_leader_deletion","Tests that the cluster maintains a primary after the primary is deleted."
"passed","Tue Jun 11 02:07:42 UTC 2024","Tue Jun 11 02:07:42 UTC 2024","27","tests.integration","test_charm","","","","test_labels_consistency_across_pods[1]",""
"passed","Tue Jun 11 02:18:09 UTC 2024","Tue Jun 11 02:18:59 UTC 2024","49502","tests.integration.new_relations","test_new_relations","","","","test_relation_with_no_database_name","Test that a relation with no database name doesn't block the charm."
"passed","Tue Jun 11 02:07:41 UTC 2024","Tue Jun 11 02:07:42 UTC 2024","42","tests.integration","test_charm","","","","test_application_created_required_resources",""
"unknown","","","","tests.integration.ha_tests","test_async_replication","","","","test_async_replication_failover_in_main_cluster","Test that async replication fails over correctly."
"skipped","Tue Jun 11 02:07:50 UTC 2024","Tue Jun 11 02:07:50 UTC 2024","0","tests.integration.ha_tests","test_self_healing","","","","test_kill_db_process[/usr/bin/patroni]",""
"unknown","","","","tests.integration.ha_tests","test_upgrade","","","","test_pre_upgrade_check","Test that the pre-upgrade-check action runs successfully."
"passed","Tue Jun 11 02:14:44 UTC 2024","Tue Jun 11 02:15:14 UTC 2024","29685","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGTERM-postgres]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"passed","Tue Jun 11 02:07:42 UTC 2024","Tue Jun 11 02:07:42 UTC 2024","30","tests.integration","test_charm","","","","test_database_is_up[1]",""
"skipped","Tue Jun 11 02:02:14 UTC 2024","Tue Jun 11 02:02:14 UTC 2024","0","tests.integration","test_backups","","","","test_delete_pod",""
"skipped","Tue Jun 11 02:07:50 UTC 2024","Tue Jun 11 02:07:50 UTC 2024","0","tests.integration.ha_tests","test_self_healing","","","","test_kill_db_process[postgres]",""
"passed","Tue Jun 11 02:07:42 UTC 2024","Tue Jun 11 02:07:42 UTC 2024","28","tests.integration","test_charm","","","","test_database_is_up[2]",""
"unknown","","","","tests.integration.ha_tests","test_upgrade","","","","test_fail_and_rollback",""
"unknown","","","","tests.integration","test_plugins","","","","test_plugins","Build and deploy one unit of PostgreSQL and then test the available plugins."
"unknown","","","","tests.integration","test_db","","","","test_finos_waltz_db","Deploy Finos Waltz to test the 'db' relation.

    Args:
        ops_test: The ops test framework
    "
"passed","Tue Jun 11 02:51:39 UTC 2024","Tue Jun 11 02:54:26 UTC 2024","167063","tests.integration","test_charm","","","","test_storage_with_more_restrictive_permissions","Test that the charm can be deployed with a storage with more restrictive permissions."
"skipped","Tue Jun 11 02:01:36 UTC 2024","Tue Jun 11 02:01:36 UTC 2024","0","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_upgrade_from_stable","Test updating from stable channel."
"passed","Tue Jun 11 02:22:08 UTC 2024","Tue Jun 11 02:28:16 UTC 2024","368808","tests.integration","test_charm","","","","test_persist_data_through_failure","Test data persists through a failure."
"passed","Tue Jun 11 02:20:21 UTC 2024","Tue Jun 11 02:22:35 UTC 2024","134047","tests.integration.new_relations","test_new_relations","","","","test_invalid_extra_user_roles",""
"passed","Tue Jun 11 02:11:52 UTC 2024","Tue Jun 11 02:13:26 UTC 2024","94971","tests.integration.new_relations","test_new_relations","","","","test_no_read_only_endpoint_in_standalone_cluster","Test that there is no read-only endpoint in a standalone cluster."
"failed","Tue Jun 11 02:17:00 UTC 2024","Tue Jun 11 02:18:19 UTC 2024","78700","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGTERM-/usr/bin/patroni]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"broken","Tue Jun 11 02:26:04 UTC 2024","Tue Jun 11 02:27:15 UTC 2024","71338","tests.integration.ha_tests","test_self_healing","","","","test_network_cut","Completely cut and restore network."
